Name|Location|Transportation|URL
POLaRT|14 (Red/Green Line)|G-4001 - Suites At Market Square, Ground|http://www.polartdesigns.com
Polrey|14 (Red/Green Line)|M-2016 - Suites At Market Square, Mezzanine|http://www.polrey.com/
Positive Posture|1 (Transportation Terminal)|5300 - Showplace, Floor 5|http://www.positiveposture.com
Powell|14 (Red/Green Line)|100, 203, 202 - National Furniture Mart, Floor 1|http://www.powellcompany.com
Primo International|1 (Transportation Terminal)|M1100 - IHFC, Main, Floor 11|http://www.primointernational.com
Progressive Furniture Inc|4 (Green Line)|218 - 220 Elm, Level 2|http://www.progressivefurniture.com
Pulaski Furniture Corporation|4 (Green Line)|200 - 220 Elm, Level 2|http://www.pulaskifurniture.com
Rachel Ashwell|1 (Transportation Terminal)|IH609 - IHFC, Commerce, Floor 1Area: InterHall|
Ralph Lauren Home Furniture|6 (Green Line)|116 S. Lindsay St.|
Randall Tysinger for E.J. Victor|6 (Green Line)|116 S. Lindsay St.|
Renar Furniture|3 (Green Line)|243 S. Main St., 2nd Floor|http://www.renar.com.br
Rene Cazares|27 (Red Line)|P202 - Union Square, Floor 2Area: North Elm District (NED)|http://www.renecazares.com
Resource Decor|19 (Red Line)|101 - 330 N. Hamilton St., Floor 1Area: Hamilton/Wrenn District|http://www.resourcedecor.com
Resource Decor|14 (Red/Green Line)|M-7045 - Suites At Market Square, MezzanineArea: Salon|
Riverside Furniture Corporation|1 (Transportation Terminal)|C302 - IHFC, Commerce, Floor 3|http://www.riverside-furniture.com
Robert James Collection|1 (Transportation Terminal)|IH304 - IHFC, Commerce, Floor 1Area: InterHall|http://www.robertjamescollection.com
Robin Bruce|1 (Transportation Terminal)|1100 - Showplace, Floor 1|http://www.robinbruce.com
Rowe Furniture|1 (Transportation Terminal)|1100 - Showplace, Floor 1|http://www.rowefurniture.com
Rudnick Furniture|12 (Green Line)|1105A - Center Point on Hamilton, Lower Level|http://www.rudnick.com.br
RuffSawn|1 (Transportation Terminal)|4300 - Showplace, Floor 4|http://www.ruffsawn.com
Rush Furniture / Vrush Ind. Inc / Rush Mattress|16 (Red Line)|N. Wrenn Bldg, 118 N. Wrenn St.|http://www.Vrushinc.com , www.RushMattress.com , www.rushfurniture.com, www.GameChangerBrand.com
